board_position,player_white,voc,move_time,elo,n_candidates,ply
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,True,0.047,,2039,5,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,False,0.0,,2030,5,2
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR,True,0.0,2.0,2039,5,3
rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR,False,0.2240000000000001,1.0,2030,5,4
rnbqkbnr/ppp2ppp/3pp3/8/3PP3/8/PPP2PPP/RNBQKBNR,True,0.2249999999999999,10.0,2039,5,5
rnbqkbnr/ppp2ppp/3pp3/8/3PP3/5N2/PPP2PPP/RNBQKB1R,False,0.316,2.0,2030,5,6
rnbqkbnr/ppp2pp1/3pp2p/8/3PP3/5N2/PPP2PPP/RNBQKB1R,True,0.025,8.0,2039,5,7
rnbqkbnr/ppp2pp1/3pp2p/8/3PPB2/5N2/PPP2PPP/RN1QKB1R,False,0.0889999999999999,3.0,2030,5,8
rnbqkbnr/1pp2pp1/p2pp2p/8/3PPB2/5N2/PPP2PPP/RN1QKB1R,True,0.0,13.0,2039,5,9
rnbqkbnr/1pp2pp1/p2pp2p/3P4/4PB2/5N2/PPP2PPP/RN1QKB1R,False,0.266,2.0,2030,5,10
rnbqkbnr/1pp2pp1/p2p3p/3Pp3/4PB2/5N2/PPP2PPP/RN1QKB1R,True,0.0,3.0,2039,5,11
rnbqkbnr/1pp2pp1/p2p3p/3Pp3/4P3/4BN2/PPP2PPP/RN1QKB1R,False,0.034,6.0,2030,5,12
rnbqkb1r/1pp2pp1/p2p1n1p/3Pp3/4P3/4BN2/PPP2PPP/RN1QKB1R,True,0.0,6.0,2039,5,13
rnbqkb1r/1pp2pp1/p2p1n1p/3Pp3/4P3/3BBN2/PPP2PPP/RN1QK2R,False,0.0,7.0,2030,5,14
rn1qkb1r/1pp2pp1/p2p1n1p/3Pp3/4P1b1/3BBN2/PPP2PPP/RN1QK2R,True,0.0,2.0,2039,5,15
rn1qkb1r/1pp2pp1/p2p1n1p/3Pp3/4P1b1/3BBN2/PPPN1PPP/R2QK2R,False,0.0,5.0,2030,5,16
rn1qk2r/1pp1bpp1/p2p1n1p/3Pp3/4P1b1/3BBN2/PPPN1PPP/R2QK2R,True,0.0,3.0,2039,5,17
rn1qk2r/1pp1bpp1/p2p1n1p/3Pp3/4P1b1/3BBN2/PPPN1PPP/R2Q1RK1,False,0.076,7.0,2030,5,18
r2qk2r/1ppnbpp1/p2p1n1p/3Pp3/4P1b1/3BBN2/PPPN1PPP/R2Q1RK1,True,0.0,4.0,2039,5,19
