board_position,player_white,voc,move_time,elo,n_candidates,ply
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,True,0.007999999999999993,,2039,5,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,False,0.0,,2030,5,0
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR,True,0.0,2,2039,5,0
rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR,False,0.2240000000000001,1,2030,5,0
rnbqkbnr/ppp2ppp/3pp3/8/3PP3/8/PPP2PPP/RNBQKBNR,True,0.29900000000000004,10,2039,5,0
rnbqkbnr/ppp2ppp/3pp3/8/3PP3/5N2/PPP2PPP/RNBQKB1R,False,0.31600000000000006,2,2030,5,0
rnbqkbnr/ppp2pp1/3pp2p/8/3PP3/5N2/PPP2PPP/RNBQKB1R,True,0.04200000000000004,8,2039,5,0
rnbqkbnr/ppp2pp1/3pp2p/8/3PPB2/5N2/PPP2PPP/RN1QKB1R,False,0.08899999999999997,3,2030,5,0
rnbqkbnr/1pp2pp1/p2pp2p/8/3PPB2/5N2/PPP2PPP/RN1QKB1R,True,0.0,13,2039,5,0
rnbqkbnr/1pp2pp1/p2pp2p/3P4/4PB2/5N2/PPP2PPP/RN1QKB1R,False,0.266,2,2030,5,0
rnbqkbnr/1pp2pp1/p2p3p/3Pp3/4PB2/5N2/PPP2PPP/RN1QKB1R,True,0.0,3,2039,5,0
rnbqkbnr/1pp2pp1/p2p3p/3Pp3/4P3/4BN2/PPP2PPP/RN1QKB1R,False,0.03400000000000003,6,2030,5,0
rnbqkb1r/1pp2pp1/p2p1n1p/3Pp3/4P3/4BN2/PPP2PPP/RN1QKB1R,True,0.0,6,2039,5,0
rnbqkb1r/1pp2pp1/p2p1n1p/3Pp3/4P3/3BBN2/PPP2PPP/RN1QK2R,False,0.0,7,2030,5,0
rn1qkb1r/1pp2pp1/p2p1n1p/3Pp3/4P1b1/3BBN2/PPP2PPP/RN1QK2R,True,0.0,2,2039,5,0
rn1qkb1r/1pp2pp1/p2p1n1p/3Pp3/4P1b1/3BBN2/PPPN1PPP/R2QK2R,False,0.0,5,2030,5,0
rn1qk2r/1pp1bpp1/p2p1n1p/3Pp3/4P1b1/3BBN2/PPPN1PPP/R2QK2R,True,0.0,3,2039,5,0
rn1qk2r/1pp1bpp1/p2p1n1p/3Pp3/4P1b1/3BBN2/PPPN1PPP/R2Q1RK1,False,0.07200000000000006,7,2030,5,0
r2qk2r/1ppnbpp1/p2p1n1p/3Pp3/4P1b1/3BBN2/PPPN1PPP/R2Q1RK1,True,0.068,4,2039,5,0
r2qk2r/1ppnbpp1/p2p1n1p/3Pp3/1P2P1b1/3BBN2/P1PN1PPP/R2Q1RK1,False,0.138,6,2030,5,0
r2q1rk1/1ppnbpp1/p2p1n1p/3Pp3/1P2P1b1/3BBN2/P1PN1PPP/R2Q1RK1,True,0.32999999999999996,1,2039,5,0
r2q1rk1/1ppnbpp1/p2p1n1p/3Pp3/1PP1P1b1/3BBN2/P2N1PPP/R2Q1RK1,False,0.6859999999999999,15,2030,5,0
r2qnrk1/1ppnbpp1/p2p3p/3Pp3/1PP1P1b1/3BBN2/P2N1PPP/R2Q1RK1,True,0.855,5,2039,5,0
r2qnrk1/1ppnbpp1/p2p3p/2PPp3/1P2P1b1/3BBN2/P2N1PPP/R2Q1RK1,False,0.945,3,2030,5,0
r2qnrk1/1ppnb1p1/p2p3p/2PPpp2/1P2P1b1/3BBN2/P2N1PPP/R2Q1RK1,True,0.0,4,2039,5,0
r2qnrk1/1ppnb1p1/p1Pp3p/3Ppp2/1P2P1b1/3BBN2/P2N1PPP/R2Q1RK1,False,0.0,18,2030,5,0
r2qnrk1/2pnb1p1/p1pp3p/3Ppp2/1P2P1b1/3BBN2/P2N1PPP/R2Q1RK1,True,0.0,2,2039,5,0
r2qnrk1/2pnb1p1/p1Pp3p/4pp2/1P2P1b1/3BBN2/P2N1PPP/R2Q1RK1,False,0.0,3,2030,5,0
r2qnrk1/2p1b1p1/pnPp3p/4pp2/1P2P1b1/3BBN2/P2N1PPP/R2Q1RK1,True,0.126,18,2039,5,0
r2qnrk1/2p1b1p1/pnPp3p/4pP2/1P4b1/3BBN2/P2N1PPP/R2Q1RK1,False,0.0040000000000000036,4,2030,5,0
r2qnrk1/2p1b1p1/pnPp3p/4pb2/1P6/3BBN2/P2N1PPP/R2Q1RK1,True,0.0,4,2039,5,0
r2qnrk1/2p1b1p1/pnPp3p/4pB2/1P6/4BN2/P2N1PPP/R2Q1RK1,False,0.0,2,2030,5,0
r2qn1k1/2p1b1p1/pnPp3p/4pr2/1P6/4BN2/P2N1PPP/R2Q1RK1,True,0.0,5,2039,5,0
r2qn1k1/2p1b1p1/pnPp3p/4pr2/1P6/4BN2/P1QN1PPP/R4RK1,False,0.0,20,2030,5,0
r2qn1k1/2p1b1p1/pnPp3p/4p2r/1P6/4BN2/P1QN1PPP/R4RK1,True,0.0,30,2039,5,0
r2qn1k1/2p1b1p1/pnPp3p/4p2r/1P2N3/4BN2/P1Q2PPP/R4RK1,False,0.0,10,2030,5,0
r2q2k1/2p1b1p1/pnPp1n1p/4p2r/1P2N3/4BN2/P1Q2PPP/R4RK1,True,0.0,11,2039,5,0
r2q2k1/2p1b1p1/pnPp1n1p/4p2r/1P6/4BNN1/P1Q2PPP/R4RK1,False,0.0,20,2030,5,0
r2q2k1/2p1b1p1/p1Pp1n1p/3np2r/1P6/4BNN1/P1Q2PPP/R4RK1,True,0.0,17,2039,5,0
r2q2k1/2p1b1p1/p1Pp1n1p/3np2N/1P6/4BN2/P1Q2PPP/R4RK1,False,0.0,2,2030,5,0
r2q2k1/2p1b1p1/p1Pp3p/3np2n/1P6/4BN2/P1Q2PPP/R4RK1,True,0.0,14,2039,5,0
r2q2k1/2p1b1p1/p1Pp3p/3np2n/1P6/5N2/P1QB1PPP/R4RK1,False,0.0,35,2030,5,0
